# Datos historicos reales registrados - 29 dias previos por zona
# Formato: ZONA_IDX;POSICION;CO2;SO2;NO2;PM25
2;17;3238.68;11.46;23.19;11.13
2;18;3238.68;11.47;23.19;11.14
2;19;3207.78;11.13;22.70;10.87
2;20;3152.44;10.52;21.80;10.40
2;21;3083.96;9.75;20.69;9.80
2;22;3016.29;9.00;19.60;9.22
2;23;2963.20;8.41;18.74;8.76
2;24;2935.55;8.11;18.30;8.53
2;25;2939.15;8.16;18.36;8.57
2;26;2973.58;8.55;18.93;8.87
2;27;3032.29;9.22;19.89;9.39
2;28;3103.88;10.04;21.06;10.03
2;29;3174.40;10.84;22.21;10.65
3;1;2923.24;9.00;16.12;8.46
3;2;2977.00;9.58;16.91;8.90
3;3;3007.36;9.91;17.37;9.15
3;4;3008.58;9.93;17.39;9.17
3;5;2980.71;9.64;16.99;8.95
3;6;2929.61;9.11;16.25;8.55
3;7;2865.74;8.44;15.32;8.05
3;8;2802.12;7.77;14.40;7.55
3;9;2751.72;7.24;13.67;7.15
3;10;2724.87;6.96;13.28;6.95
3;11;2727.21;6.99;13.32;6.97
3;12;2758.59;7.34;13.79;7.23
3;13;2813.04;7.93;14.60;7.68
3;14;2880.02;8.65;15.59;8.22
3;15;2946.51;9.37;16.57;8.76
3;16;2999.55;9.94;17.36;9.19
3;17;3028.89;10.27;17.79;9.44
3;18;3028.98;10.28;17.80;9.44
3;19;3000.11;9.98;17.39;9.22
3;20;2948.32;9.43;16.64;8.81
3;21;2884.22;8.76;15.70;8.31
3;22;2820.87;8.09;14.78;7.81
3;23;2771.19;7.57;14.06;7.42
3;24;2745.36;7.31;13.69;7.22
3;25;2748.83;7.35;13.75;7.26
3;26;2781.20;7.71;14.23;7.53
3;27;2836.33;8.30;15.05;7.97
3;28;2903.54;9.03;16.04;8.52
3;29;2969.75;9.74;17.02;9.06
4;1;3744.99;13.17;23.20;13.22
4;2;3816.17;13.89;24.07;13.87
4;3;3856.14;14.30;24.56;14.24
4;4;3857.27;14.32;24.59;14.25
4;5;3819.61;13.96;24.15;13.92
4;6;3750.98;13.28;23.34;13.31
4;7;3665.32;12.43;22.32;12.54
4;8;3580.00;11.59;21.31;11.78
4;9;3512.29;10.92;20.51;11.18
4;10;3475.99;10.57;20.08;10.86
4;11;3478.62;10.61;20.13;10.89
4;12;3519.95;11.03;20.64;11.27
4;13;3592.05;11.76;21.51;11.92
4;14;3680.86;12.66;22.59;12.73
4;15;3769.01;13.55;23.66;13.53
4;16;3839.23;14.26;24.51;14.17
4;17;3877.85;14.66;24.99;14.52
4;18;3877.48;14.66;25.00;14.53
4;19;3838.48;14.28;24.54;14.18
4;20;3768.92;13.60;23.72;13.56
4;21;3682.96;12.75;22.70;12.79
4;22;3597.99;11.91;21.69;12.04
4;23;3531.25;11.25;20.90;11.44
4;24;3496.31;10.91;20.50;11.13
4;25;3500.44;10.96;20.56;11.18
4;26;3543.10;11.40;21.08;11.57
4;27;3616.11;12.14;21.97;12.23
4;28;3705.22;13.04;23.05;13.04
4;29;3793.00;13.93;24.12;13.84
